store,id,brand,title,price_usd,sku,in_stock,image,local_image_path,store_url
Crist Fragrances,cf_10522450034963,Crist Fragances - Wholesale,LV Le Jour Se Leve EDP spray vail 2ml,15.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/s-l1600-2026-08-29T135602.283.webp?v=1788026181,imagenes_perfumes\crist_fragrances\cf_10522450034963_LV_Le_Jour_Se_Leve_EDP_spray_vail_2ml.webp,https://wholesale.cristfragances.com/products/lv-le-jour-se-leve-edp-spray-vail-2ml
Crist Fragrances,cf_10522441711891,Crist Fragances - Wholesale,Moschino Toy 2 Pearl Unisex Sample 0.03 oz 1 ml,5.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/descarga_41.webp?v=1788025368,imagenes_perfumes\crist_fragrances\cf_10522441711891_Moschino_Toy_2_Pearl_Unisex_Sample_0.03_oz_1_ml.webp,https://wholesale.cristfragances.com/products/moschino-toy-2-pearl-unisex-sample-0-03-oz-1-ml
Crist Fragrances,cf_10522506559763,Crist Fragances - Wholesale,ELIVI ANANAS EXTRAIT DE PARFUM 50ML,180.0,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/images_-_2026-08-29T170812.199.jpg?v=1788037715,imagenes_perfumes\crist_fragrances\cf_10522506559763_ELIVI_ANANAS_EXTRAIT_DE_PARFUM_50ML.jpg,https://wholesale.cristfragances.com/products/ananas-extrait-de-parfum-50ml
Crist Fragrances,cf_10522465763603,Crist Fragances - Wholesale,Bath & Body Works Mahogany Teakwood 0.8 fl oz / 24 mL,5.95,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/028007961.avif?v=1788028862,imagenes_perfumes\crist_fragrances\cf_10522465763603_Bath_&_Body_Works_Mahogany_Teakwood_0.8_fl_oz_24_mL.avif,https://wholesale.cristfragances.com/products/bath-body-works-mahogany-teakwood-0-8-fl-oz-24-ml
Crist Fragrances,cf_10522506133779,Crist Fragances - Wholesale,(Tester) Dolce & Gabbana Ladies Q EDP 3.4 oz,45.0,8057971183609,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/dolce-and-gabbana-ladies-q-edp-3-4-oz-tester-fragrances-8057971183609.jpg?v=1788037146,imagenes_perfumes\crist_fragrances\cf_10522506133779_(Tester)_Dolce_&_Gabbana_Ladies_Q_EDP_3.4_oz.jpg,https://wholesale.cristfragances.com/products/tester-dolce-gabbana-ladies-q-edp-3-4-oz
Crist Fragrances,cf_10522446725395,Lattafa,(OPEN BOX) Ameer Al Oudh Intense Oud Eau de Parfum Spray 100ml 3.4 oz,14.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/AmeerAlOudhIntenseOudByLattafaEauDeParfumSpray3_4Oz_54df8eec-df90-4b68-ac6d-3ad35217c9be_jpg.webp?v=1761835048,imagenes_perfumes\crist_fragrances\cf_10522446725395_(OPEN_BOX)_Ameer_Al_Oudh_Intense_Oud_Eau_de_Parfum_Spray_100ml_3.4_oz.webp,https://wholesale.cristfragances.com/products/open-box-ameer-al-oudh-intense-oud-eau-de-parfum-spray-100ml-3-4-oz
Crist Fragrances,cf_10521517850899,Crist Fragances - Wholesale,Maison Alhambra Men's Victorioso Nero EDP Spray 3.4 oz,12.5,6291108735930,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/maison-alhambra-mens-victorioso-nero-edp-spray-34-oz-fragrances-6291108735930.jpg?v=1787953724,imagenes_perfumes\crist_fragrances\cf_10521517850899_Maison_Alhambra_Men's_Victorioso_Nero_EDP_Spray_3.4_oz.jpg,https://wholesale.cristfragances.com/products/maison-alhambra-mens-victorioso-nero-edp-spray-3-4-oz
Crist Fragrances,cf_10522449248531,Crist Fragances - Wholesale,Versace Vial Crystal Noir Eau De Toilette 0.03fl.oz 1ml,8.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/descarga_44.webp?v=1788026014,imagenes_perfumes\crist_fragrances\cf_10522449248531_Versace_Vial_Crystal_Noir_Eau_De_Toilette_0.03fl.oz_1ml.webp,https://wholesale.cristfragances.com/products/versace-vial-crystal-noir-eau-de-toilette-0-03fl-oz-1ml
Crist Fragrances,cf_10521188565267,Crist Fragances - Wholesale,Valentino Donna Born in Roma Yellow Dream 1.2ml,8.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/descarga_39.webp?v=1787923099,imagenes_perfumes\crist_fragrances\cf_10521188565267_Valentino_Donna_Born_in_Roma_Yellow_Dream_1.2ml.webp,https://wholesale.cristfragances.com/products/valentino-donna-born-in-roma-yellow-dream-1-2ml
Crist Fragrances,cf_10521186271507,Crist Fragances - Wholesale,VALENTINO UOMO BORN IN ROMA CORAL FANTASY 1.2ml .04fl oz,8.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/descarga_37.webp?v=1787922802,imagenes_perfumes\crist_fragrances\cf_10521186271507_VALENTINO_UOMO_BORN_IN_ROMA_CORAL_FANTASY_1.2ml_.04fl_oz.webp,https://wholesale.cristfragances.com/products/valentino-uomo-born-in-roma-coral-fantasy-1-2ml-04fl-oz
Crist Fragrances,cf_10522448265491,Crist Fragances - Wholesale,Versace Eros Pour Femme  Eau de Parfum Spray 0.03 oz  1 ml,6.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/descarga_43.webp?v=1788025861,imagenes_perfumes\crist_fragrances\cf_10522448265491_Versace_Eros_Pour_Femme_Eau_de_Parfum_Spray_0.03_oz_1_ml.webp,https://wholesale.cristfragances.com/products/versace-eros-pour-femme-eau-de-parfum-spray-0-03-oz-1-ml
Crist Fragrances,cf_10521487474963,Crist Fragances - Wholesale,Yves Saint Laurent Open Box - Lhomme Cologne Bleue / Ysl EDT Spray 3.4 oz 100 ml,115.0,3614271990013,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/descarga_29.jpg?v=1787950210,imagenes_perfumes\crist_fragrances\cf_10521487474963_Yves_Saint_Laurent_Open_Box_-_Lhomme_Cologne_Bleue_Ysl_EDT_Spray_3.4_oz_100_ml.jpg,https://wholesale.cristfragances.com/products/yves-saint-laurent-open-box-lhomme-cologne-bleue-ysl-edt-spray-3-4-oz-100-ml
Crist Fragrances,cf_10427536703763,Crist Fragances - Wholesale,Bath & Body Works Dark Kiss Fine Fragrance Mist 8 fl oz / 236 ml,12.95,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/028020639.avif?v=1781565568,imagenes_perfumes\crist_fragrances\cf_10427536703763_Bath_&_Body_Works_Dark_Kiss_Fine_Fragrance_Mist_8_fl_oz_236_ml.avif,https://wholesale.cristfragances.com/products/dark-kiss-fine-fragrance-mist-8-fl-oz-236-ml
Crist Fragrances,cf_10427498037523,Crist Fragances - Wholesale,Bath & Body Works Pink Pineapple Sunrise Delicate Fragrance Mist 8 fl oz / 236 ml,12.95,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/028023407.avif?v=1781559771,imagenes_perfumes\crist_fragrances\cf_10427498037523_Bath_&_Body_Works_Pink_Pineapple_Sunrise_Delicate_Fragrance_Mist_8_fl_oz_236_ml.avif,https://wholesale.cristfragances.com/products/pink-pineapple-sunrise-delicate-fragrance-mist-8-fl-oz-236-ml
Crist Fragrances,cf_10427591164179,Crist Fragances - Wholesale,Bath & Body Works Blush Cardigan Body Wash 10 fl oz / 295 mL,12.95,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/028015742.avif?v=1781573750,imagenes_perfumes\crist_fragrances\cf_10427591164179_Bath_&_Body_Works_Blush_Cardigan_Body_Wash_10_fl_oz_295_mL.avif,https://wholesale.cristfragances.com/products/blush-cardigan-body-wash-10-fl-oz-295-ml
Crist Fragrances,cf_10521312395539,Crist Fragances - Wholesale,Versace Dylan Purple Eau de Parfum Sample Spray – 1 mL,8.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/descarga_40.webp?v=1787934493,imagenes_perfumes\crist_fragrances\cf_10521312395539_Versace_Dylan_Purple_Eau_de_Parfum_Sample_Spray_–_1_mL.webp,https://wholesale.cristfragances.com/products/versace-dylan-purple-eau-de-parfum-sample-spray-1-ml
